country,year,china_aid,lnaid,lnaid.1,lnGDPpc.1,growth.1,lnFDI.1,trade.de.1,polity.1,lndom.1,usally.1,production2,lnprod1,lnreserve1,oecd,africa
Afghanistan,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
Afghanistan,1994,NA,NA,NA,NA,NA,-9.903487553,0.013056629,0,8.43923165,0,0,0,0,0,0
Afghanistan,1995,NA,NA,NA,NA,NA,9.903487553,0.012534088,0,8.124150603,0,0,0,0,0,0
Afghanistan,1996,NA,NA,NA,NA,NA,-11.44386116,0.012811855,0,8.565983356,0,0,0,0,0,0
Afghanistan,1997,NA,NA,NA,NA,NA,13.44444688,0.008467515,-7,8.517193191,0,0,0,0,0,0
Afghanistan,1998,NA,NA,NA,NA,NA,-14.19394699,0.007324612,-7,8.047189562,0,0,0,0,0,0
Afghanistan,1999,NA,NA,NA,NA,NA,-9.210340372,0.005548193,-7,8.047189562,0,0,0,0,0,0
Afghanistan,2000,NA,0,NA,NA,NA,15.61391457,0.004039807,-7,8.047189562,0,0,0,0,0,0
Afghanistan,2001,NA,0,0,NA,NA,12.04355372,0.004122075,-7,8.047189562,0,0,0,0,0,0
Afghanistan,2002,NA,0,0,4.765669449,NA,13.42984808,0.002745475,NA,8.212568398,0,0,0,0,0,0
Afghanistan,2003,NA,0,0,5.23561766,NA,17.72753356,0.002651789,NA,8.645938147,0,0,0,0,0,0
Afghanistan,2004,NA,0,0,5.291939791,8.444163227,17.87249933,0.002744076,NA,8.826441042,0,0,0,0,0,0
Afghanistan,2005,NA,0,0,5.389716968,1.055555787,19.04608427,0.004498511,NA,8.939187601,0,0,0,0,0,0
Afghanistan,2006,NA,0,0,5.522636746,11.17527024,19.41762938,0.003348355,NA,8.397733751,0,0,0,0,0,0
Afghanistan,2007,NA,0,0,5.607870063,5.554137623,19.28778123,0.005283243,NA,8.309430742,0,0,0,0,0,0
