country,production2,reserve2,africa,part,part2,part3,partner,partner2,aid2,prod2,prod2.2,GDP2,polity2,GDPpc2,growth2,FDI2,dom2,usally2,pop2,trade.de2,lntrade2,lnexport2,lnimport2,taiwan2,lnaid2,totalPresPremvisits.x,totalPresPremDays.x,totalPresPremvisits.y,totalPresPremDays.y
Afghanistan,0,0,0,0,0,0,0,0,0,0,NA,21.6241,-7,4.765669,NA,3.536606,8.080265,0,19541900,0.004756032,16.96812,16.88074,13.58823,0,0,0,0,0,0
Albania,6.361,11.00584,0,0,0,0,0,0,0,7.759133,NA,21.87802,5,6.928916,5.255824,18.15212,5.388344,0,3106958,0.007137139,17.0156,16.18724,#NAME?,0,0,0,0,0,0
Algeria,1349,15.02686,1,0,0,0,0,0,16911681,13.01292,13.20993,24.6514,-3,7.410097,3.245616,19.87431,7.884541,0,30752799,0.03514183,18.98769,18.83916,14.93592,0,9.73576,1,3,2,5
Angola,896.3699,14.49628,1,0,0,0,0,0,443625304,12.50177,12.50787,22.74654,-3,6.159719,5.035521,20.87509,6.152328,0,15993451,0.1373071,20.17503,17.23704,20.098,0,13.00274,1,1,0,0
Argentina,799.147,13.79151,0,1,0,0,1,0,0,12.59539,12.669,26.37737,7.6,8.960558,0.675586,22.82237,5.809159,1,36650518,0.2635199,21.03217,20.10056,20.52252,0,0,1,3,1,4
Armenia,0,0,0,0,0,0,0,0,0,0,NA,21.35212,2.8,6.408419,5.875544,18.42444,3.097115,0,3090206,0.000995221,15.11109,14.24953,12.35499,0,0,0,0,0,0
Australia,625.9671,13.6806,0,0,0,0,0,0,0,12.30668,12.44963,26.72314,10,9.966279,3.838497,22.74063,0,1,18944000,1.284151,22.61664,21.73734,22.07763,0,0,3,12,2,10
Austria,18.58082,10.341,0,0,0,0,0,0,0,8.84524,NA,26.05987,10,10.16515,2.81478,22.22735,1.185385,0,7998203,0.1404209,20.37954,19.36811,19.91262,0,0,0,0,2,8
Azerbaijan,310.2575,12.97147,0,0,0,0,0,0,0,11.41054,11.42385,22.28233,-6.8,6.390112,8.84,20.16707,1.104292,0,7978760,0.001474785,15.35216,14.55064,14.16712,0,0,0,0,0,0
Bahrain,36.8,11.05296,0,0,0,0,0,0,0,9.53921,NA,22.71512,-8.8,9.345208,3.994806,19.29287,0,0,641468,0.01532653,18.14865,17.40156,17.47859,0,0,0,0,0,0
Bangladesh,6,9.002186,0,0,0,0,0,0,0,6.569167,NA,24.6615,6,5.986541,4.941532,18.89055,4.056661,0,129004140,0.1542735,20.50062,20.46728,16.93479,0,0,1,2,1,3
Belarus,36.50685,11.18816,0,0,0,0,0,0,0,9.502424,NA,23.30844,-7,7.187948,6.745061,19.13795,1.215987,0,10024179,0.008811387,17.48839,16.26529,17.11368,0,0,1,2,1,2
Belgium,0,0,0,0,0,0,0,0,0,0,NA,26.24496,10,10.10416,2.738858,NA,2.069955,1,10229698,0.5848306,21.82976,21.35803,20.8484,0,0,1,2,2,5
Benin,0.8,8.256948,1,0,0,0,0,0,17827482,5.809876,NA,21.65049,6,5.93799,5.245511,10.46398,0,0,6671737,0.04753507,19.23351,19.20997,14.1385,0,9.788496,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,NA,19.84024,-10,6.608352,6.881728,0.2028634,0,0,558293.6,0.000204714,13.90925,13.38107,9.903488,0,0,0,0,0,0
Bolivia,32.16438,11.00225,0,0,0,0,0,0,0,9.366095,NA,22.83313,9,6.915905,2.920412,20.52126,6.355809,1,8183142,0.001920212,16.06298,15.52479,14.4621,0,0,0,0,0,0
Botswana,0,0,1,0,0,0,0,0,0,0,NA,22.3914,8,8.046693,4.130811,17.86256,0,0,1698079,0.001407008,15.69611,15.92471,#NAME?,0,0,0,0,0,0
Brazil,1455.192,14.64481,0,0,1,0,1,1,0,12.89085,12.91096,27.27383,8,8.306964,1.940977,24.01032,5.976791,1,172702661,0.4986159,21.66312,20.82659,21.08844,0,0,1,6,1,2
Bulgaria,0.74,8.607948,0,0,0,0,0,0,0,5.571253,NA,23.30846,8.2,7.389895,1.209795,20.38121,2.459137,0,8191758,0.01708197,18.24145,18.08508,16.1868,0,0,0,0,1,3
Burkina Faso,0,0,1,0,0,0,0,0,0,0,NA,21.72803,-3,5.489055,5.892475,16.05403,0,0,11293900,0.0010697,15.15491,14.79483,13.95805,1,0,NA,NA,NA,NA
Burundi,0,0,1,0,0,0,0,0,90986285,0,NA,20.59865,-1.6,4.941826,0.6697886,7.685073,7.923389,0,6306785,0.000478465,14.66879,14.13784,#NAME?,0,11.41846,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,NA,21.98531,0.2,5.696635,7.890888,19.0189,4.453417,0,11866416,0.03412246,18.98494,18.64198,17.68338,0,0,1,2,2,5
Cameroon,69.81918,11.89136,1,0,0,0,0,0,60472854,10.49927,NA,23.00233,-4,6.48573,4.59193,4.684398,0,0,14905409,0.02388532,18.60127,16.80792,18.40532,0,11.00995,1,2,1,3
Canada,2170.6,14.38856,0,1,0,0,1,0,0,13.48198,13.78539,27.25481,10,10.02109,4.055658,23.99309,1.215987,1,30517180,1.024628,22.38916,21.65251,21.73598,0,0,3,8,2,9
Central African Republic,0,0,1,0,0,0,0,0,2270249,0,NA,20.67167,5,5.554879,3.115072,14.95703,5.487481,0,3675678,0.000269965,14.05217,13.4661,12.46479,0,7.727645,0,0,0,0
Chad,0,NA,1,0,0,0,0,0,0,0,NA,21.17959,-2,5.278485,4.540115,18.00452,0.9656627,0,8059985,0.000238076,13.51359,12.7712,10.90206,1,0,0,0,0,0
Chile,6,11.04916,0,0,0,0,0,0,0,7.885914,NA,25.07942,8.4,8.551129,3.994072,22.39942,2.428307,1,15073453,0.2786253,21.07508,20.32251,20.4039,0,0,1,2,1,3
Colombia,576.9397,13.73399,0,0,0,0,0,0,0,12.45114,12.46441,25.30461,7,7.804987,1.178791,21.72128,8.908747,1,39818324,0.02638478,18.69946,18.57599,16.42827,0,0,0,0,0,0
Comoros,0,0,1,0,0,0,0,0,4544741,0,NA,19.18476,1,6.00688,4.083628,12.13424,4.738813,0,528886.2,5.88E-05,12.67843,12.59649,#NAME?,0,8.421726,0,0,0,0
Congo Brazzaville,249.2027,13.21705,1,0,0,0,0,0,739547631,11.47742,11.41681,21.63593,-5.8,6.6777,2.381825,3.694649,3.196867,0,3137760,0.03273732,18.85207,16.90941,18.58199,0,13.51379,1,2,0,0
Congo Kinshasa,22.66575,11.13101,1,0,0,0,0,0,44926384,9.130465,NA,22.75116,0,5.107449,-4.104488,10.6711,6.381246,0,46008013,0.0058588,17.09327,16.96221,14.50651,0,10.71278,0,0,0,0
