country,part,part2,part3,partner,partner2,GDPpc2,growth2,FDI2,trade.de2,polity2,dom2,usally2,prod2,reserve2,oecd,pop2,dist,contig,taiwan2,region2
Afghanistan,1,1,0,1,1,5.747803451,9.358306594,11.10925128,0.006842276,-4.375,8.160545278,0,0,0,0,22757581.05,4180.438,1,0,Asia
Albania,0,0,0,0,0,7.454706746,5.895268649,19.18142662,0.006935096,6.65,2.258159467,0,7.981661487,11.07115627,0,3050524.75,7686.079,0,0,Europe
Algeria,0,1,0,1,1,7.817690389,3.154960407,20.68653148,0.090608895,-1.15,5.952547911,0,13.14414883,15.14509931,0,32382691.15,9117.676,0,0,Africa
Angola,0,0,0,0,0,6.947630722,6.253277545,8.197949241,0.380996619,-2.15,4.292358701,0,12.82694396,14.52318029,0,18430537.15,11769.51,0,0,Africa
Argentina,1,1,0,1,1,8.854814834,3.196137968,22.5035744,0.301879159,7.7,4.516154835,1,12.45977776,13.70782094,0,38104873.3,19297.47,0,0,America
Armenia,0,0,0,0,0,7.036614874,6.205049494,18.65538271,0.002606153,4,2.027468394,0,0,0,0,3042004.65,5947.15,0,0,Europe
Australia,0,0,0,0,0,10.28369461,3.483275531,21.10402887,1.74202681,10,1.139613909,1,12.14087265,13.5520001,1,19913021.4,8956.436,0,0,Oceania
Austria,0,0,0,0,0,10.43258888,1.976526059,20.14450384,0.167501288,10,1.489601772,0,8.815547281,10.16351386,1,8137860.95,7468.012,0,0,Europe
Azerbaijan,0,0,0,0,0,7.185793997,6.807616844,21.31429854,0.013794554,-6.45,2.854174265,0,11.86266183,14.08527826,0,8291894.55,5520.214,0,0,Europe
Bahrain,0,0,0,0,0,9.596541742,4.880920654,18.09075472,0.019450726,-7.95,2.078127346,0,9.515977146,10.80075393,0,839082.75,6184.87,0,0,MEast
Bangladesh,1,0,0,1,0,6.146404282,5.332437848,19.02494927,0.164565307,4.6,5.811253954,0,7.048323483,8.891997487,0,136439433.4,3036.238,0,0,Asia
Belarus,0,0,1,1,1,7.804595882,4.191615382,19.41936599,0.021437499,-5.25,2.047632532,0,9.466739267,11.18816438,0,9831306.6,6480.601,0,0,Europe
Belgium,0,0,0,0,0,10.37683076,1.860467666,24.70321201,0.685535917,9.4,2.837975428,1,0,0,1,10450119.5,7970.82,0,0,Europe
Benin,0,0,0,0,0,6.23656018,4.285968179,7.104797624,0.056327715,6.35,0.316575092,0,3.43175855,8.271386608,0,7492259.7,11545.88,0,0,Africa
Bhutan,0,0,0,0,0,6.94703527,7.314559467,12.30482873,0.000158055,-6,1.426179766,0,0,0,0,619385.65,2812.561,1,0,Asia
Bolivia,0,0,0,0,0,7.080813084,3.984492714,17.92602607,0.005657143,8.3,5.649855533,1,9.436581663,11.46114504,0,8738421.8,17389.85,0,0,America
