country,year,oecd,polity,durable,lndom,domestic9,usally,production2,reserve2,production,reserve,china_aid,export.from.china,import.to.china,import,export,trade,trade.china,lntrade,lnexport,lnimport,ctrade,lnGDP,lnGDPpc,lnFDI,lnaid,lnprod,lnprod2,lnreserve,trade.de,africa,region2,part,part2,part3,partner,partner2,visits,days,taiwan,contig,dist,lnprod1,lnprod2.1,lnreserve1,production1,production21,reserve1,reserve21,growth.1,lnaid.1,lnGDP.1,lnGDPpc.1,lnFDI.1,lndom.1,dom.1,polity.1,usally.1,trade.de.1,lntrade.1,lnexport.1,lnimport.1,taiwan.1,pop.1
Afghanistan,2013,0,NA,0,10.57612586,39188,0,0,0,NA,NA,NA,328.97,9.57,839.75,7787.41,8627.16,338.54,19.64015281,19.61147712,16.07414376,3867890.06,23.72131215,6.448485785,17.44354031,0,0,NA,0,0.008752576,0,Asia,1,1,0,1,1,0,0,0,1,4180.438,0,NA,0,NA,0,NA,0,14.43474129,0,23.74547171,6.505797589,17.67047182,9.118773178,9125,NA,0,0.012710539,19.967477,19.956386,15.46031561,0,30696958
Albania,2013,0,9,16,0,0,0,17.00822,0.1724,NA,NA,NA,323.56,242.55,2532.4,4523.27,7055.67,566.11,20.15429896,19.59489513,19.30671843,3867890.06,23.27122785,8.392700402,20.94943146,0,8.73359411,NA,11.04971471,0.014636145,0,Europe,0,0,0,0,0,0,0,0,0,7686.079,8.723420962,NA,11.19390545,NA,16.83607,NA,0.19914,1.419999998,0,23.23447233,8.354112765,20.63997189,0,0,9,0,0.013183896,20.00404159,19.65612315,18.77933373,0,2900401
Algeria,2013,0,2,9,7.393263095,1625,0,1461.78082,12.2,1485,12.2,NA,6014.77,2139.1,65127.98,52962.9,118090.88,8153.87,22.8217585,22.51748395,21.48365102,3867890.06,26.0693419,8.607375111,21.24911014,0,13.18730806,13.2030674,15.30908858,0.210809249,1,Africa,0,1,0,1,1,0,0,0,0,9117.676,13.23438542,13.2374851,15.30908858,1537,1532.24317,12.2,12.2,3.374768651,0,26.06582681,8.624220935,21.12899921,0,0,2,0,0.209409406,22.76933672,22.41292244,21.56475543,0,37565847
Angola,2013,0,-2,16,0,0,0,1830.65753,10.47,1799,12.7,1410188433,3964.86,31948.02,72605.96,23953.49,96559.45,35912.88,24.30436184,22.10073638,24.18737604,3867890.06,25.55087583,8.477332585,-22.68617601,14.15923389,13.41232784,13.39488359,15.15616666,0.928487611,1,Africa,0,0,0,0,0,0,0,0,0,11769.51,13.38260686,13.38651067,15.05894443,1784,1777.04918,12.7,9.5,5.155440545,13.10783722,25.47165608,8.433431073,-22.65449076,0,0,-2,0,1.014984612,24.34767423,22.12054712,24.23356692,0,25096150
Argentina,2013,0,8,30,5.926926026,375,0,539.84858,2.80524,635,2.3,NA,8749.56,6096.04,81104.61,68387.5,149492.11,14845.6,23.42096936,22.89226925,22.53090522,3867890.06,27.03685943,9.470905821,23.00785618,0,12.19118605,12.35352235,13.83914173,0.383816493,0,America,1,1,0,1,1,0,0,0,0,19297.47,12.21184951,12.36759608,13.72581361,644,551.11977,2.4,2.50468,-1.026420454,0,27.02585253,9.470371696,23.45268175,5.521460918,250,8,1,0.390714025,23.3930214,22.78671772,22.60476546,0,42096739
Armenia,2013,0,5,15,5.743003188,312,0,0,0,NA,NA,NA,119.71,76.82,1334.55,3279.78,4614.33,196.53,19.09632565,18.60058271,18.15697558,3867890.06,23.13214293,8.25416242,19.66221633,0,0,NA,0,0.005081065,0,Europe,0,0,0,0,0,0,0,0,0,5947.15,0,NA,0,NA,0,NA,0,7.200000003,0,23.08594083,8.211972835,20.02336933,0,0,5,0,0.00401988,18.81629752,18.54422493,17.38165725,0,2881922
Australia,2013,1,10,112,4.828313737,125,0,337.98904,1.43325,421,4,NA,37555.9,91558.19,261215.65,218597.95,479813.6,129114.09,25.58396227,24.34909633,25.24024056,3867890.06,28.08029806,11.12420396,24.71219987,0,11.72291082,11.94253019,13.16759723,3.338101342,0,Oceania,0,0,0,0,0,0,0,0,0,8956.436,11.90555712,12.09225984,13.1622875,489,405.71858,3.9,1.42566,3.634249616,0,28.06163042,11.12251105,24.77592739,6.69950034,812,10,1,3.149070698,25.47990818,24.35455643,25.08754936,0,22728254
Austria,2013,1,10,67,0,0,0,16.1589,0.0467,NA,NA,NA,2037.77,5036.53,177162.38,171682.75,348845.13,7074.3,22.67973434,21.43512191,22.33998319,3867890.06,26.78296929,10.82982198,19.92769259,0,8.682368335,NA,9.743641518,0.182898166,0,Europe,0,0,0,0,0,0,0,0,0,7468.012,8.728115891,NA,9.811920359,NA,16.9153,NA,0.05,0.7457561,0,26.73318795,10.78588169,22.37569239,0,0,10,0,0.183076257,22.63494827,21.43583812,22.27618207,0,8429991
Azerbaijan,2013,0,-7,18,6.08221891,438,0,870.59452,7,877,7,NA,868.19,232.04,29869.18,16275.69,46144.87,1100.23,20.81878509,20.58192114,19.26242033,3867890.06,25.02955057,8.97154458,21.68622525,0,12.66907369,12.67640435,14.75356278,0.028445224,0,Europe,0,0,0,0,0,0,0,0,0,5520.214,12.7261699,12.67068678,14.75356278,872,921.74863,7,7,2.200000188,0,24.96724113,8.922169611,22.38969826,6.533788838,688,-7,0,0.034569668,20.96802214,20.78449263,19.18228065,0,9295784
Bahrain,2013,0,-10,1,7.896552702,2688,0,48,0.12456,NA,NA,NA,1237.43,304.16,12022.35,18872.66,30895.01,1541.59,21.15608019,20.93630249,19.53306444,3867890.06,24.21669807,10.12703835,20.71203277,0,9.771098364,NA,10.72468488,0.039856097,0,MEast,0,0,0,0,0,0,0,0,0,6184.87,9.61346942,NA,10.72468488,NA,41,NA,0.12456,3.732251521,0,24.14913334,10.07109161,20.60810569,8.730367212,6188,-10,0,0.041972331,21.16205611,20.90762698,19.6688044,0,1300217
